archetype,scenario,parameter,direction,n_cities,mean_misting_hours_h,mean_water_use_L_per_module,mean_pv_energy_Wh,mean_load_energy_Wh,mean_autonomy_ratio,baseline_misting_hours_h,baseline_water_use_L_per_module,baseline_load_energy_Wh,baseline_autonomy_ratio,pct_change_misting_hours,pct_change_water_use,pct_change_load_energy,pct_change_autonomy
Humid Black Sea,Tset_minus10pct,Tset,-10%,7,41.57142857142857,1663.4052197802198,76094.40252995408,5186.8561126373625,18.872272519109995,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,263.74999999999994,257.5827532382857,106.67256503242437,-52.432977431816965
Humid Black Sea,Tset_plus10pct,Tset,+10%,7,2.5714285714285716,97.99862637362632,76094.40252995408,1691.5923763736264,46.68043481946728,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,-77.5,-78.9332038786788,-32.59775713410576,17.65669949402111
Humid Mediterranean Coastal,Baseline,Baseline,baseline,13,186.0,7120.340680473372,94054.69967342631,17422.043084319528,15.285728276563542,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,0.0,0.0
Humid Mediterranean Coastal,Flow_minus10pct,Water flow rate,-10%,13,186.0,6408.306612426036,94054.69967342631,17422.043084319528,15.285728276563542,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,-9.99999999999999,0.0,0.0
Humid Mediterranean Coastal,Flow_plus10pct,Water flow rate,+10%,13,186.0,7832.374748520711,94054.69967342631,17422.043084319528,15.285728276563542,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,10.000000000000027,0.0,0.0
Humid Mediterranean Coastal,Gmin_minus10pct,Gmin,-10%,13,186.53846153846155,7137.248076923076,94054.69967342631,17460.497596153848,15.26682197524466,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.28949545078577804,0.2374520715851447,0.22072331957972183,-0.12368597018612301
Humid Mediterranean Coastal,Gmin_plus10pct,Gmin,+10%,13,185.46153846153845,7102.251035502958,94054.69967342631,17381.125554733728,15.289168816845493,186.0,7120.340680473372,17422.043084319528,15.285728276563542,-0.28949545078577804,-0.254055891174178,-0.2348606841790423,0.022508186850510085
Humid Mediterranean Coastal,PVarea_2m2,PV area design,2 m²,13,186.0,7120.340680473372,188109.39934685262,17422.043084319528,30.571456553127085,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,0.0,100.0
Humid Mediterranean Coastal,PVarea_3m2,PV area design,3 m²,13,186.0,7120.340680473372,282164.0990202789,17422.043084319528,45.85718482969063,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,0.0,200.0
Humid Mediterranean Coastal,PVarea_minus10pct,PV area,-10%,13,186.0,7120.340680473372,84649.22970608367,17422.043084319528,13.757155448907188,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,0.0,-10.000000000000002
Humid Mediterranean Coastal,PVarea_plus10pct,PV area,+10%,13,186.0,7120.340680473372,103460.16964076895,17422.043084319528,16.8143011042199,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,0.0,10.000000000000027
Humid Mediterranean Coastal,Pump_minus10pct,Pump power,-10%,13,186.0,7120.340680473372,94054.69967342631,15938.638775887575,15.957889589880871,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,-8.514525542455297,4.3973129781974665
Humid Mediterranean Coastal,Pump_plus10pct,Pump power,+10%,13,186.0,7120.340680473372,94054.69967342631,18905.447392751477,14.689236703185857,186.0,7120.340680473372,17422.043084319528,15.285728276563542,0.0,0.0,8.514525542455276,-3.9022777494497327
Humid Mediterranean Coastal,RHmax_minus10pct,RHmax,-10%,13,159.53846153846155,6089.872781065089,94054.69967342631,15116.465729783038,19.18689567488772,186.0,7120.340680473372,17422.043084319528,15.285728276563542,-14.226633581472287,-14.472171285767411,-13.233679559727376,25.52163251721243
Humid Mediterranean Coastal,RHmax_plus10pct,RHmax,+10%,13,193.46153846153845,7557.854895104896,94054.69967342631,18378.30026223776,12.457651630635144,186.0,7120.340680473372,17422.043084319528,15.285728276563542,4.011579818031426,6.144568557391514,5.488777483158096,-18.50141906725161
Humid Mediterranean Coastal,Tset_minus10pct,Tset,-10%,13,403.61538461538464,16796.636094674555,94054.69967342631,38886.68417159763,4.863092394397539,186.0,7120.340680473372,17422.043084319528,15.285728276563542,116.99751861042185,135.8965230517297,123.20392610323104,-68.18540597863594
Humid Mediterranean Coastal,Tset_plus10pct,Tset,+10%,13,34.30769230769231,1303.7454142011832,94054.69967342631,4393.982433431952,36.37892301900948,186.0,7120.340680473372,17422.043084319528,15.285728276563542,-81.55500413564928,-81.68984501294244,-74.7791782389363,137.99273649778627
Semi-Arid Plateau,Baseline,Baseline,baseline,33,117.21212121212122,5047.1524475524475,90994.86838131081,12690.173659673661,11.607983046467881,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,0.0,0.0
Semi-Arid Plateau,Flow_minus10pct,Water flow rate,-10%,33,117.21212121212122,4542.437202797203,90994.86838131081,12690.173659673661,11.607983046467881,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,-9.999999999999993,0.0,0.0
Semi-Arid Plateau,Flow_plus10pct,Water flow rate,+10%,33,117.21212121212122,5551.867692307693,90994.86838131081,12690.173659673661,11.607983046467881,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,10.00000000000001,0.0,0.0
Semi-Arid Plateau,Gmin_minus10pct,Gmin,-10%,33,117.75757575757575,5073.1884615384615,90994.86838131081,12747.688082750583,11.570616323572807,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.4653567735263592,0.5158555097466865,0.4532201419724385,-0.32190538826160775
Semi-Arid Plateau,Gmin_plus10pct,Gmin,+10%,33,116.18181818181819,5002.393531468532,90994.86838131081,12590.74409965035,11.65913577515856,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,-0.8790072388831445,-0.8868152200479,-0.7835161495013596,0.44066853376603077
Semi-Arid Plateau,PVarea_2m2,PV area design,2 m²,33,117.21212121212122,5047.1524475524475,181989.73676262161,12690.173659673661,23.215966092935762,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,0.0,100.00000000000001
Semi-Arid Plateau,PVarea_3m2,PV area design,3 m²,33,117.21212121212122,5047.1524475524475,272984.6051439324,12690.173659673661,34.823949139403645,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,0.0,200.00000000000003
Semi-Arid Plateau,PVarea_minus10pct,PV area,-10%,33,117.21212121212122,5047.1524475524475,81895.38154317973,12690.173659673661,10.447184741821092,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,0.0,-10.00000000000001
Semi-Arid Plateau,PVarea_plus10pct,PV area,+10%,33,117.21212121212122,5047.1524475524475,100094.35521944189,12690.173659673661,12.76878135111467,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,0.0,10.00000000000001
Semi-Arid Plateau,Pump_minus10pct,Pump power,-10%,33,117.21212121212122,5047.1524475524475,90994.86838131081,11638.683566433567,12.341932893448934,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,-8.285860551944047,6.3228025406565544
Semi-Arid Plateau,Pump_plus10pct,Pump power,+10%,33,117.21212121212122,5047.1524475524475,90994.86838131081,13741.663752913753,10.974979628395607,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,0.0,8.285860551944033,-5.453173178650418
Semi-Arid Plateau,RHmax_minus10pct,RHmax,-10%,33,117.21212121212122,4974.918123543124,90994.86838131081,12539.685484654236,11.681362359339651,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,-1.4311896610999408,-1.1858637955258315,0.6321452450268565
Semi-Arid Plateau,RHmax_plus10pct,RHmax,+10%,33,117.21212121212122,5106.25325810553,90994.86838131081,12813.300348325916,11.549056082593463,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,0.0,1.1709733590817715,0.9702521963393024,-0.5076417120745934
Semi-Arid Plateau,Tset_minus10pct,Tset,-10%,33,305.4848484848485,15310.940734265734,90994.86838131081,35202.70228729604,3.614949580749924,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,160.62564632885213,203.35800024607104,177.40126519435913,-68.85807322186007
Semi-Arid Plateau,Tset_plus10pct,Tset,+10%,33,17.575757575757574,705.0180069930067,90994.86838131081,3046.242060023309,38.5468069447709,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881,-85.00517063081696,-86.0313708706204,-75.99526892446288,232.0715303465236
Temperate / Windy Coastal,Baseline,Baseline,baseline,13,157.76923076923077,5927.808284023669,91493.78760772242,14768.215976331361,19.89071183419621,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,0.0,0.0
Temperate / Windy Coastal,Flow_minus10pct,Water flow rate,-10%,13,157.76923076923077,5335.027455621302,91493.78760772242,14768.215976331361,19.89071183419621,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,-10.000000000000012,0.0,0.0
Temperate / Windy Coastal,Flow_plus10pct,Water flow rate,+10%,13,157.76923076923077,6520.589112426036,91493.78760772242,14768.215976331361,19.89071183419621,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,9.999999999999996,0.0,0.0
